mibig_name,filename,accession,completeness,kingdom,mibig
BGC0001632,BGC0001632.fasta,JXYX01000010.1,Unknown,bacteria,RiPP
BGC0002103,BGC0002103.fna,NC_000964.3,Unknown,bacteria,Other
BGC0000348,ergovaline.fasta,EF125025.1,Unknown,fungi,NRP
BGC0001606,BGC0001606_gibepyrone_A.fasta,HF679033.1,Unknown,fungi,Polyketide
BGC0001254,BGC0001254.fasta,AB516321.1,Unknown,fungi,Polyketide
BGC0001292,BGC0001292.fasta,KR476659.1,Unknown,bacteria,Other
BGC0001036,polyoxypeptin.fasta,KF386858.1,Unknown,bacteria,NRP__Polyketide
BGC0000790,BGC0000790.fna,EF027106.1,Unknown,bacteria,Saccharide
BGC0002070,BGC0002070.fna,HE804045.1,Unknown,bacteria,Polyketide
BGC0000038,coelimycin.fasta,AL645882.2,complete,bacteria,Polyketide
BGC0001742,BGC0001742_piericidin_A1.fasta,KX098584.1,Unknown,bacteria,Polyketide
BGC0000555,staphylococcin_C55.fasta,AP003088.1,Unknown,bacteria,RiPP
BGC0002152,BGC0002152.fna,CP000076.1,Unknown,bacteria,Other
BGC0001814,BGC0001814_ulleungmycin.fasta,MF541667.1,Unknown,bacteria,NRP
BGC0001237,BGC0001237.fasta,KT282100.1,Unknown,bacteria,Polyketide
BGC0001294,BGC0001294.fna,NZ_LARV01000172.1,Unknown,bacteria,Other
BGC0001910,BGC0001910.fna,LC064028.1,Unknown,bacteria,Terpene
BGC0002707,BGC0002707.fna,JH711575.1,Unknown,fungi,Terpene
BGC0000663,BGC0000663.fna,AL645882.2,Unknown,bacteria,Terpene
BGC0000792,BGC0000792.fna,AF071085.1,Unknown,bacteria,Saccharide
BGC0001445,BGC0001445_Leporin_B.fasta,EQ963479.1,complete,fungi,NRP__Polyketide
BGC0000150,BGC0000150.fasta,CP000667.1,complete,bacteria,NRP__Polyketide
BGC0000967,calyculin.fasta,AB933566.1,complete,bacteria,NRP__Polyketide
BGC0001690,BGC0001690_natamycin.fasta,KX458106.1,Unknown,bacteria,Polyketide
BGC0002093,BGC0002093.fna,MK539848.1,Unknown,fungi,NRP__Polyketide
BGC0000731,BGC0000731.fna,AB289648.1,Unknown,bacteria,Saccharide
BGC0000394,naphthyridinomycin.fasta,JQ996389.1,Unknown,bacteria,NRP
BGC0002445,BGC0002445.fna,MT277003.1,Unknown,fungi,Terpene
BGC0001570,BGC0001570_deimino_antipain.fasta,LWBU01000384.1,Unknown,bacteria,NRP
BGC0002386,BGC0002386.fna,CP003969.1,Unknown,bacteria,NRP__Polyketide
BGC0002607,BGC0002607.fasta,MG701896.1,Unknown,fungi,NRP__Polyketide
BGC0000403,pelgipeptin.fasta,JQ745271.1,Unknown,bacteria,NRP
BGC0001328,BGC0001328_Rakicidin_B.fasta,KK037233.1,complete,bacteria,NRP__Polyketide
BGC0000992,fusaridione_A.fasta,AY700570.3,Unknown,fungi,NRP__Polyketide
BGC0000167,vincenistatin.fasta,AB086653.1,Unknown,bacteria,Polyketide
BGC0001660,mathermycin.fasta,KY938841.1,Unknown,bacteria,RiPP
BGC0000215,BGC0000215.fasta,X62518.1,Unknown,bacteria,Polyketide
BGC0000237,BGC0000237.fasta,EU147299.1,Unknown,bacteria,Polyketide
BGC0002576,BGC0002576.fasta,MT776333.1,Unknown,bacteria,RiPP
BGC0000974,FN547928.1.fasta,FN547928.1,Unknown,bacteria,NRP__Polyketide
BGC0002215,BGC0002215.fna,KE720645.1,Unknown,fungi,Polyketide
BGC0001747,BGC0001747.fna,JUET01000030.1,Unknown,bacteria,Other
BGC0000955,althiomycin.fasta,FR831800.1,complete,bacteria,NRP__Polyketide
BGC0000747,BGC0000747.fna,AF363058.1,Unknown,bacteria,Saccharide
BGC0000324,coelibactin.fasta,AL645882.2,Unknown,bacteria,NRP
BGC0001651,BGC0001651.fna,CP003191.1,Unknown,bacteria,Other
BGC0002615,BGC0002615.fasta,MH388470.1,Unknown,fungi,Terpene
BGC0000539,BGC0000539.fasta,AB121757.3,Unknown,bacteria,RiPP
BGC0002568,BGC0002568.fna,FN554889.1,Unknown,bacteria,Other
BGC0000934,BGC0000934.fasta,KJ207079.1,complete,bacteria,Other
BGC0001262,BGC0001262.fna,AB872924.1,Unknown,fungi,Polyketide
BGC0002172,BGC0002172.fna,CM000576.1,Unknown,fungi,NRP
BGC0000714,BGC0000714.fasta,FJ160413.1,Unknown,bacteria,Saccharide
BGC0001443,matlystatins_BGC0001443.fasta,NZ_KB907224.1,complete,bacteria,NRP__Polyketide
BGC0002688,BGC0002688.fna,NZ_JPMW01000001.1,Unknown,bacteria,NRP
BGC0000234,BGC0000234.fna,AF126429.1,Unknown,bacteria,Polyketide
BGC0000491,gassericin_A.fasta,AB007043.2,Unknown,bacteria,RiPP
BGC0000646,BGC0000646.fna,FJ151553.1,complete,bacteria,Terpene
BGC0001000,Hectochlorin.fasta,AY974560.1,complete,bacteria,NRP__Polyketide
BGC0001903,BGC0001903.fna,KP657980.1,Unknown,bacteria,Other
BGC0002412,BGC0002412.fasta,JMIB01000043.1,Unknown,bacteria,NRP
BGC0000233,Hedamycin.fasta,AY196994.1,Unknown,bacteria,Polyketide
BGC0001238,BGC0001238.fna,FJ430072.1,Unknown,fungi,Other
BGC0000948,BGC0000948.fna,CR626927.1,complete,bacteria,Other
BGC0002052,MT149902.1.fasta,MT149902.1,complete,bacteria,Other
BGC0001593,ficellomycin.fasta,KY454693.1,Unknown,bacteria,NRP
BGC0000950,napsamycin.fasta,HQ287563.1,complete,bacteria,NRP__Other
BGC0001773,BGC0001773_selvamicin.fasta,CP013855.1,Unknown,bacteria,Polyketide
BGC0001677,BGC0001677.fasta,KU234530.1,Unknown,fungi,Polyketide
BGC0000459,BGC0000459.fna,JX508597.1,complete,bacteria,NRP__Polyketide
BGC0000431,stenothricin.fasta,DS999644.1,complete,bacteria,NRP
BGC0000368,BGC0000368.fna,FN545130.1,Unknown,bacteria,NRP
BGC0000569,plantazolicin.fasta,FN668567.1,complete,bacteria,RiPP
BGC0000990,BGC0000990.fna,GU063811.1,Unknown,bacteria,NRP__Polyketide
BGC0001007,BGC0001007.fasta,CP000850.1,complete,bacteria,NRP__Polyketide
BGC0001648,BGC0001648_lasalocid.fasta,KT591188.1,Unknown,bacteria,Polyketide
BGC0000802,BGC0000802.fna,AJ225561.1,Unknown,bacteria,Saccharide
BGC0001491,BGC0001491_67_121C.fasta,MEIA01000001.1,Unknown,bacteria,Polyketide
BGC0001622,BGC0001622_isotropolone_C.fasta,KX891214.1,Unknown,bacteria,Polyketide
BGC0001334,cladoniamide.fasta,JN165773.1,complete,bacteria,Alkaloid
BGC0001055,yersiniabactin.fasta,AM236324.1,Unknown,bacteria,NRP__Polyketide
BGC0001413,BGC0001413.fasta,KP836244.1,Unknown,bacteria,NRP
BGC0002362,BGC0002362.fasta,MT904273.1,Unknown,bacteria,Polyketide
BGC0001503,BGC0001503_amycolamycin_B.fasta,MF990204.1,Unknown,bacteria,Polyketide
BGC0001409,BGC0001409.fasta,KP710956.1,Unknown,bacteria,Polyketide
BGC0002649,BGC0002649.fna,CP092497.1,Unknown,bacteria,NRP__Polyketide
BGC0001959,MH743142.1.fasta,MH743142.1,Unknown,bacteria,Other
BGC0001653,BGC0001653_linfuranone_C.fasta,NZ_BCBX01000035.1,Unknown,bacteria,Polyketide
BGC0002510,BGC0002510.fasta,MT459140.1,Unknown,bacteria,Polyketide
BGC0001886,BGC0001886.fna,CAGA01000032.1,Unknown,fungi,Polyketide
BGC0001435,ikarugamycin.fasta,KF954512.1,complete,bacteria,NRP__Polyketide
BGC0001017,microcystin.fasta,AF183408.1,complete,bacteria,NRP__Polyketide
BGC0002261,BGC0002261.fna,LC515193.1,Unknown,fungi,Polyketide
BGC0002488,BGC0002488.fna,CP002869.1,Unknown,bacteria,Other
BGC0000046,depudecin.fasta,FJ977165.1,complete,fungi,Polyketide
BGC0001637,BGC0001637.fna,MF401554.1,Unknown,bacteria,NRP
BGC0000105,nanchangmycin.fasta,AF521085.1,Unknown,bacteria,Polyketide
BGC0002347,MK388866.1.fasta,MK388866.1,Unknown,bacteria,Alkaloid
BGC0000893,chloramphenicol.fasta,FR845719.1,complete,bacteria,NRP
BGC0000860,BGC0000860.fasta,GU249592.1,Unknown,bacteria,Other
BGC0002268,BGC0002268.fna,MT603584.1,Unknown,fungi,NRP__Polyketide
BGC0002095,BGC0002095.fna,LFML01000163.1,complete,bacteria,NRP
BGC0002137,BGC0002137.fna,NZ_JOIQ01000020.1,complete,bacteria,Polyketide
BGC0002352,BGC0002352.fna,LWGR01000021.1,Unknown,bacteria,Other
BGC0001650,BGC0001650_Le_pyrrolopyrazines.fasta,MF495862.1,Unknown,bacteria,NRP
BGC0001034,pellasoren.fasta,HE616533.1,complete,bacteria,NRP__Polyketide
BGC0002617,BGC0002617.fna,KU695586.1,Unknown,fungi,NRP
BGC0001487,BGC0001487.fna,MF955860.1,Unknown,bacteria,Other
BGC0000316,EF472579.1.fasta,EF472579.1,Unknown,bacteria,NRP
BGC0002520,LC572270.1.fasta,LC572270.1,Unknown,bacteria,Polyketide
BGC0000173,bongkrekic_acid.fasta,JX173632.1,complete,bacteria,Polyketide
BGC0002104,BGC0002104.fasta,NZ_LGUI01000004.1,complete,bacteria,NRP__Polyketide
BGC0002245,BGC0002245.fna,KB445573.1,Unknown,fungi,Terpene
BGC0000654,BGC0000654.fna,DQ230532.1,complete,bacteria,Saccharide__Terpene
BGC0002480,BGC0002480.fna,JACJUZ010000001.1,Unknown,bacteria,NRP__Polyketide
BGC0001740,phthoxazolin.fasta,LC315614.1,Unknown,bacteria,NRP__Polyketide
BGC0000515,geobacillin_I.fasta,CP000557.1,complete,bacteria,RiPP
BGC0000128,BGC0000128.fasta,AY394844.4,Unknown,bacteria,Polyketide
BGC0000880,BGC0000880.fasta,HQ172897.1,complete,bacteria,Other
BGC0001064,cylindrocyclophane.fasta,JX477167.1,Unknown,bacteria,Polyketide
BGC0002470,BGC0002470.fna,CP000957.1,Unknown,bacteria,Other
BGC0001490,BGC0001490.fna,KX588879.1,Unknown,bacteria,Other
BGC0001065,BGC0001065.fasta,JN671974.1,Unknown,bacteria,Polyketide
BGC0000998,guadinomine.fasta,JX545234.1,Unknown,bacteria,NRP__Polyketide
BGC0000773,BGC0000773.fna,AF125322.1,Unknown,bacteria,Saccharide
BGC0000037,cichorine.fasta,BN001301.1,Unknown,fungi,Polyketide
BGC0002693,BGC0002693.fna,CP038001.1,Unknown,bacteria,NRP
BGC0000256,pradimicin.fasta,EF151801.1,Unknown,bacteria,Polyketide
BGC0001975,MK370905.1.fasta,MK370905.1,Unknown,bacteria,NRP
BGC0001702,nocamycin.fasta,KY287782.1,Unknown,bacteria,NRP__Polyketide
BGC0001941,MH069655.1.fasta,MH069655.1,Unknown,bacteria,NRP__Polyketide
BGC0000911,BGC0000911.fasta,AP009493.1,Unknown,bacteria,Other
BGC0002155,BGC0002155.fna,CM001235.1,Unknown,fungi,Polyketide
BGC0000572,capistruin.fasta,CP004117.1,Unknown,bacteria,RiPP
BGC0001934,BGC0001934.fna,MF401191.1,Unknown,bacteria,Polyketide
BGC0001157,BGC0001157.fasta,FN554889.1,complete,bacteria,RiPP
BGC0001094,enacyloxin.fasta,CP000442.1,Unknown,bacteria,NRP__Polyketide
BGC0001195,nocardiopsin.fasta,KP339942.1,Unknown,bacteria,NRP__Polyketide
BGC0000745,BGC0000745.fasta,AF363056.1,Unknown,bacteria,Saccharide
BGC0001826,BGC0001826_xeneprotides_A_C.fasta,NZ_NJCW01000032.1,Unknown,bacteria,NRP
BGC0001374,BGC0001374.fna,KU569241.1,Unknown,bacteria,Other
BGC0001909,BGC0001909.fna,KY070339.1,Unknown,fungi,Polyketide
BGC0001051,thuggacin.fasta,GQ981380.1,complete,bacteria,NRP__Polyketide
BGC0001960,MH743143.1.fasta,MH743143.1,Unknown,bacteria,Polyketide
BGC0002319,BGC0002319.fasta,MG788286.1,Unknown,bacteria,RiPP
BGC0001224,reductasporine.fasta,KP274854.1,Unknown,bacteria,Other
BGC0002625,BGC0002625.fna,JADEXS020000001.1,Unknown,bacteria,NRP__Polyketide
BGC0001219,BGC0001219.fasta,CH408034.1,Unknown,fungi,Polyketide
BGC0001515,BGC0001515_aspercryptins.fasta,BN001302.1,Unknown,fungi,NRP
BGC0002074,MK636692.1.fasta,MK636692.1,complete,bacteria,RiPP
BGC0000905,BGC0000905.fna,EU052681.1,Unknown,bacteria,Other
BGC0001011,BGC0001011.fasta,DQ351275.1,Unknown,bacteria,NRP__Polyketide
BGC0000904,FR33289.fasta,DQ267750.1,Unknown,bacteria,Other
BGC0000337,BGC0000337.fasta,GL698760.1,complete,fungi,NRP
BGC0000581,microcin_J25.fasta,AF061787.1,Unknown,bacteria,RiPP
BGC0000192,BGC0000192.fasta,AF257324.2,Unknown,bacteria,Polyketide
BGC0001010,melithiazol.fasta,AJ557546.1,complete,bacteria,NRP__Polyketide
BGC0002271,BGC0002271.fna,CH476594.1,Unknown,fungi,NRP
BGC0000252,BGC0000252.fna,AF074603.2,Unknown,bacteria,Polyketide
BGC0000088,BGC0000088.fasta,AH007774.2,Unknown,fungi,Polyketide
BGC0002475,BGC0002475.fasta,EU088199.1,Unknown,bacteria,NRP
BGC0000300,amychelin.fasta,GG657746.1,Unknown,bacteria,NRP
BGC0000020,Ansamitocin.fasta,AF453501.1,Unknown,bacteria,Polyketide
BGC0000225,frenolicin.fasta,AF058302.1,Unknown,bacteria,Polyketide
BGC0001590,BGC0001590_formicamycins_A_M.fasta,KX859301.1,Unknown,bacteria,Polyketide
BGC0000530,B-Ny266.fasta,AHSM01000014.1,Unknown,bacteria,RiPP
BGC0002561,BGC0002561.fna,MH990330.1,Unknown,bacteria,Alkaloid
BGC0001905,BGC0001905.fna,KU534995.1,Unknown,bacteria,Polyketide
BGC0001112,rhizoxin.fasta,AM411073.1,complete,bacteria,NRP__Polyketide
BGC0000769,BGC0000769.fna,AY130970.1,Unknown,bacteria,Saccharide
BGC0000779,BGC0000779.fna,EU296247.1,Unknown,bacteria,Saccharide
BGC0001233,BGC0001233.fasta,KT809366.1,Unknown,bacteria,NRP
BGC0001646,BGC0001646_lagriamide.fasta,MH171092.1,Unknown,bacteria,NRP__Polyketide
BGC0000850,BGC0000850.fasta,FJ821515.1,Unknown,bacteria,Other
BGC0002469,BGC0002469.fna,CP000961.1,Unknown,bacteria,Other
BGC0000765,BGC0000765.fna,EF138833.1,Unknown,bacteria,Saccharide
BGC0000410,BGC0000410.fasta,EF484930.1,Unknown,bacteria,NRP
BGC0001536,BGC0001536_brevicidine.fasta,KY810815.1,Unknown,bacteria,NRP
BGC0002484,BGC0002484.fna,KQ976354.1,Unknown,bacteria,NRP__Polyketide
BGC0001658,BGC0001658_macrotermycins.fasta,LWSF01000005.1,Unknown,bacteria,Polyketide
BGC0001885,BK010686.1.fasta,BK010686.1,Unknown,bacteria,NRP__Polyketide
BGC0000994,ascomycin.fasta,AF235504.1,Unknown,bacteria,NRP__Polyketide
BGC0000738,BGC0000738.fna,AF302466.1,Unknown,bacteria,Saccharide
BGC0000308,aureusimine.fasta,CP002120.1,Unknown,bacteria,NRP
BGC0001559,BGC0001559.fasta,CP012159.1,Unknown,bacteria,RiPP
BGC0001762,BGC0001762_rubrolone_A.fasta,KX218108.1,Unknown,bacteria,Alkaloid
BGC0001199,BGC0001199.fasta,BBOM01000011.1,Unknown,bacteria,Polyketide
BGC0000962,BGC0000962.fasta,AF516145.1,complete,bacteria,NRP__Polyketide
BGC0001005,locillomycin.fasta,KF866134.1,Unknown,bacteria,NRP__Polyketide
BGC0001159,marinopyrrole.fasta,JX157625.1,complete,bacteria,NRP__Polyketide
BGC0001190,BGC0001190.fasta,CM000580.1,Unknown,fungi,Polyketide
BGC0001177,mensacaricin.fasta,KJ437437.1,complete,bacteria,Polyketide
BGC0001337,BGC0001337.fasta,KR052816.1,complete,bacteria,Alkaloid
BGC0001605,BGC0001605.fna,NC_000914.2,Unknown,bacteria,Terpene
BGC0001542,BGC0001542_cercosporin.fasta,KY656140.1,Unknown,fungi,Polyketide
BGC0000195,alnumycin.fasta,EU852062.1,complete,bacteria,Polyketide
BGC0000086,lasalocid.fasta,AB449340.1,Unknown,bacteria,Polyketide
BGC0002360,BGC0002360.fna,MW740414.1,Unknown,bacteria,NRP
BGC0001745,BGC0001745_PlpA3.fasta,NZ_KB235920.1,Unknown,bacteria,RiPP
BGC0000664,BGC0000664.fna,AP009493.1,Unknown,bacteria,Terpene
BGC0001056,BGC0001056.fasta,HE995400.1,complete,bacteria,NRP__Polyketide
BGC0000921,BGC0000921.fasta,GU211010.1,complete,bacteria,NRP__Other__Polyketide
BGC0000807,BGC0000807.fna,CP001778.1,Unknown,bacteria,Saccharide
BGC0000263,ravidomycin.fasta,FN565485.1,Unknown,bacteria,Polyketide
BGC0000064,BGC0000064.fasta,AY604568.1,Unknown,fungi,NRP__Polyketide
BGC0002276,BGC0002276.fna,CH236925.1,Unknown,fungi,NRP
BGC0000919,BGC0000919.fna,U27310.1,Unknown,bacteria,Other
BGC0002315,BGC0002315.fna,MN477201.1,Unknown,bacteria,Polyketide
BGC0000335,cystomanamide.fasta,KJ710244.1,Unknown,bacteria,NRP__Polyketide
BGC0002581,BGC0002581.fna,MN509472.2,Unknown,bacteria,NRP
BGC0000141,rubradirin.fasta,AJ871581.1,Unknown,bacteria,Polyketide
BGC0000306,arylomycins.fasta,ABYX02000001.1,complete,bacteria,NRP
BGC0002180,BGC0002180.fna,BN001306.1,Unknown,fungi,Polyketide
BGC0001108,BGC0001108.fasta,AY328023.1,complete,bacteria,NRP__Polyketide
BGC0000793,BGC0000793.fna,AF511116.1,Unknown,bacteria,Saccharide
BGC0001589,BGC0001589.fna,NC_011001.1,Unknown,bacteria,Saccharide
BGC0001427,BGC0001427.fasta,KX622597.1,complete,bacteria,NRP__Polyketide
BGC0002164,BGC0002164.fna,AB205145.1,Unknown,fungi,NRP
BGC0001169,BGC0001169.fasta,KF874660.1,complete,bacteria,Polyketide
BGC0000413,BGC0000413.fasta,CP000076.1,Unknown,bacteria,NRP
BGC0002381,BGC0002381.fna,NZ_JODZ01000004.1,Unknown,bacteria,Alkaloid__Polyketide
BGC0002168,BGC0002168.fna,MW315913.1,Unknown,fungi,Polyketide
BGC0000343,BGC0000343.fasta,GQ370384.1,Unknown,bacteria,NRP
BGC0001215,BGC0001215_conglobatin.fasta,LN849060.1,Unknown,bacteria,NRP
BGC0001293,cyclizidine.fasta,KT327068.1,Unknown,bacteria,Polyketide
BGC0000786,BGC0000786.fna,AY057452.2,Unknown,bacteria,Saccharide
BGC0001866,BGC0001866.fna,NW_021167153.1,complete,fungi,Polyketide
BGC0000494,uberolysin.fasta,DQ650653.1,Unknown,bacteria,RiPP
BGC0001738,BGC0001738_phomasetin.fasta,LC361337.1,Unknown,fungi,NRP__Polyketide
BGC0002054,BGC0002054.fasta,MK257770.1,complete,bacteria,NRP__Polyketide__Saccharide
BGC0000305,arthrofactin.fasta,AB107223.1,complete,bacteria,NRP
BGC0002696,BGC0002696.fna,LQWU01000088.1,Unknown,bacteria,NRP
BGC0002187,BGC0002187.fasta,CM008060.1,Unknown,fungi,Polyketide
BGC0000143,platinum_BGC0000143.fasta,DQ630728.1,Unknown,bacteria,Polyketide
BGC0001674,BGC0001674_MS_271.fasta,FONR01000003.1,Unknown,bacteria,RiPP
BGC0002726,BGC0002726.fna,MK523385.1,Unknown,fungi,Polyketide
BGC0002099,BGC0002099.fasta,MW201789.1,complete,bacteria,RiPP
BGC0002642,BGC0002642.fna,CP003219.1,Unknown,bacteria,Alkaloid
BGC0000812,BGC0000812.fna,KF915812.1,Unknown,fungi,Alkaloid
BGC0001547,BGC0001547.fna,LC102187.1,Unknown,fungi,Terpene
BGC0002359,BGC0002359.fna,VJOK01000001.1,Unknown,bacteria,NRP
BGC0001539,BGC0001539_cattlecin.fasta,FQ859185.1,Unknown,bacteria,RiPP
BGC0001791,BGC0001791_sunshinamide.fasta,NZ_CP007142.1,Unknown,bacteria,NRP
BGC0000845,BGC0000845.fasta,DS570624.1,complete,bacteria,Other
BGC0000032,calcimycin.fasta,HM452329.1,Unknown,bacteria,Polyketide
BGC0001406,BGC0001406.fasta,KT881498.1,Unknown,bacteria,NRP
BGC0001847,Erwinia_1-carbapen-2-em-3-carboxylic_acid.fasta,U17224.2,Unknown,bacteria,Other
BGC0001422,BGC0001422_Myxochromide_A.fasta.txt,KX622592.1,complete,bacteria,NRP__Polyketide
BGC0000240,lomaiviticin.fasta,KF731828.1,Unknown,bacteria,Polyketide__Saccharide
BGC0001386,BGC0001386.fasta,LC125462.1,Unknown,bacteria,Polyketide
BGC0001431,BGC0001431.fasta,KX622601.1,complete,bacteria,NRP__Polyketide
BGC0002430,MZ394730.1.fasta,MZ394730.1,Unknown,bacteria,NRP__Saccharide
BGC0000577,sphingonodin.fasta,AP010805.1,Unknown,bacteria,RiPP
BGC0000470,BGC0000470.fasta,JX827389.1,Unknown,bacteria,RiPP
BGC0000450,triostin_A.fasta,AB366635.1,Unknown,bacteria,NRP
BGC0001731,BGC0001731.fna,KJ721164.1,Unknown,bacteria,Other
BGC0000594,microviridin_K.fasta,EU438895.1,Unknown,bacteria,RiPP
BGC0001072,simocyclinone.fasta,AF324838.2,complete,bacteria,Other__Polyketide__Saccharide
BGC0001152,platinum_fusaricidin.fasta,EF451155.3,complete,bacteria,NRP__Polyketide
BGC0001619,BGC0001619.fasta,KJ159185.1,incomplete,bacteria,Polyketide
BGC0002683,BGC0002683.fna,BA000019.2,Unknown,bacteria,Other
BGC0001540,BGC0001540.fasta,KY379149.1,Unknown,bacteria,Other
BGC0000344,entolysin.fasta,CT573326.1,Unknown,bacteria,NRP
BGC0000830,BGC0000830.fasta,AF367409.1,complete,bacteria,Other
BGC0000889,BGC0000889.fasta,AB689797.1,Unknown,bacteria,Other
BGC0001822,BGC0001822_vioprolide.fasta,MH108942.1,Unknown,bacteria,NRP
BGC0000651,BGC0000651.fna,AB307968.1,Unknown,bacteria,Terpene
BGC0002661,MZ964597.1.fasta,MZ964597.1,Unknown,bacteria,NRP
BGC0000841,BGC0000841.fna,CM000914.1,complete,bacteria,Other
BGC0001185,BGC0001185.fasta,CP000560.1,complete,bacteria,NRP
BGC0000667,BGC0000667.fasta,HG792016.1,Unknown,fungi,Terpene
BGC0000475,patellamide.fasta,AY986476.1,Unknown,bacteria,RiPP
BGC0000924,BGC0000924.fna,EU188755.1,Unknown,bacteria,Other
BGC0000988,epothilone.fasta,AF210843.1,Unknown,bacteria,NRP__Polyketide
BGC0001395,BGC0001395.fasta,KU726098.1,Unknown,bacteria,Other
BGC0002486,BGC0002486.fasta,JH930363.1,Unknown,bacteria,RiPP
BGC0000123,phoslactomycin.fasta,AY354515.1,Unknown,bacteria,Polyketide
BGC0000592,BGC0000592.fasta,AM943877.1,complete,bacteria,RiPP
BGC0001392,BGC0001392.fasta,CP001699.1,Unknown,bacteria,RiPP
BGC0001860,BGC0001860.fasta,CP001874.1,complete,bacteria,RiPP
BGC0000217,BGC0000217.fna,L34880.1,Unknown,bacteria,Polyketide
BGC0000508,BGC0000508.fasta,X62386.1,Unknown,bacteria,RiPP
BGC0000231,griseusin.fasta,X77865.1,Unknown,bacteria,Polyketide
BGC0001781,BGC0001781_sphaericin.fasta,BDCX01000012.1,Unknown,bacteria,RiPP
BGC0002364,BGC0002364.fna,MH817137.1,Unknown,bacteria,Polyketide
BGC0000579,BGC0000579.fasta,NZ_CM000951.1,complete,bacteria,RiPP
BGC0000007,BGC0000007.fasta,AY510452.1,Unknown,fungi,Polyketide
BGC0000565,goadsporin.fasta,AB205012.1,Unknown,bacteria,RiPP
BGC0000501,catenulipeptin.fasta,CP001700.1,complete,bacteria,RiPP
BGC0001704,BGC0001704_nocuolin_A.fasta,KY594676.1,Unknown,bacteria,Other
BGC0001268,BGC0001268.fasta,JX308619.1,Unknown,fungi,NRP__Polyketide
BGC0001220,BGC0001220.fasta,NW_017962980.1,Unknown,fungi,NRP
BGC0001962,BGC0001962.fna,MH824152.1,Unknown,bacteria,Polyketide
BGC0002497,MT994316.1.fasta,MT994316.1,Unknown,bacteria,Other
BGC0000112,neocarzinostatin.fasta,AY117439.1,complete,bacteria,Polyketide
BGC0000890,BGC0000890.fna,KF540211.1,complete,bacteria,Other
BGC0002343,BGC0002343.fasta,LFBV01000006.1,Unknown,bacteria,Alkaloid__RiPP
BGC0001630,BGC0001630_kasumigamide.fasta,LC160290.1,Unknown,bacteria,NRP__Polyketide
BGC0000679,BGC0000679.fna,KK037233.1,Unknown,bacteria,Terpene
BGC0000448,tomaymycin.fasta,FJ768957.1,Unknown,bacteria,NRP
